date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:46:29	14778/14778	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Mar%202020%2017:16:27%20GMT	https://utid.ut.ac.ir/user/login	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/user/login.html	(from )
21:46:29	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-51c08ecb2a500%22	https://utid.ut.ac.ir/robots.txt		(from )
21:46:29	3425/3425	---M--	200	added ('OK')	image/gif	etag:%22d61-56a4bef186c80%22	https://utid.ut.ac.ir/animated_favicon1.gif	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/animated_favicon1.gif	(from https://utid.ut.ac.ir/user/login)
21:46:29	1370/1370	---M--	200	added ('OK')	text/css	etag:%2255a-570f3b913ce00%22	https://utid.ut.ac.ir/css/ml.css	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/css/ml.css	(from https://utid.ut.ac.ir/user/login)
21:46:30	204052/204052	---M--	200	added ('OK')	text/css	etag:%2231d14-570f3cb9d49c0%22	https://utid.ut.ac.ir/css/style.min.css	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/css/style.min.css	(from https://utid.ut.ac.ir/user/login)
21:46:30	863/863	---M--	200	added ('OK')	text/css	etag:%2235f-57339c28e7780%22	https://utid.ut.ac.ir/css/passwordscheck.css	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/css/passwordscheck.css	(from https://utid.ut.ac.ir/user/login)
21:46:30	30805/30805	---M--	200	added ('OK')	text/css	etag:%227855-570f3b0047800%22	https://utid.ut.ac.ir/css/rtl.min.css	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/css/rtl.min.css	(from https://utid.ut.ac.ir/user/login)
21:46:30	86926/86926	---M--	200	added ('OK')	application/javascript	etag:%221538e-57336635caf00%22	https://utid.ut.ac.ir/js/jq3.js	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/js/jq3.js	(from https://utid.ut.ac.ir/user/login)
21:46:31	95956/95956	---M--	200	added ('OK')	application/javascript	etag:%22176d4-51dfffaca9640%22	https://utid.ut.ac.ir/js/jquery.js	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/js/jquery.js	(from https://utid.ut.ac.ir/user/login)
21:46:31	140975/140975	---M--	200	added ('OK')	application/javascript	etag:%22226af-51c08ecb2a500%22	https://utid.ut.ac.ir/js/main.min.js	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/js/main.min.js	(from https://utid.ut.ac.ir/user/login)
21:46:31	9784/9784	---M--	200	added ('OK')	application/javascript	etag:%222638-57339e0004f00%22	https://utid.ut.ac.ir/js/in.js	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/js/in.js	(from https://utid.ut.ac.ir/user/login)
21:46:31	56963/56963	---M--	200	added ('OK')	image/png	etag:%22de83-5364feb90b980%22	https://utid.ut.ac.ir/images/sitenameNewBig.png	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/images/sitenameNewBig.png	(from https://utid.ut.ac.ir/user/login)
21:46:31	460/460	---M--	302	error ('Found')	text/html	date:Mon,%2030%20Mar%202020%2017:16:30%20GMT	https://utid.ut.ac.ir/user/pass/update	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/user/pass/update	(from https://utid.ut.ac.ir/user/login)
21:46:32	14783/14783	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Mar%202020%2017:16:30%20GMT	https://utid.ut.ac.ir/user/login?url=/user/pass/update	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/user/loginf5b0.html	(from https://utid.ut.ac.ir/user/login)
21:46:32	242/242	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Mar%202020%2017:16:31%20GMT	https://utid.ut.ac.ir/user/Trident/	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/user/Trident/index.html	(from https://utid.ut.ac.ir/user/login)
21:46:32	239/239	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Mar%202020%2017:16:31%20GMT	https://utid.ut.ac.ir/user/Edge/	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/user/Edge/index.html	(from https://utid.ut.ac.ir/user/login)
21:46:32	14125/14125	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Mar%202020%2017:16:31%20GMT	https://utid.ut.ac.ir/user/pass/recover	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/user/pass/recover.html	(from https://utid.ut.ac.ir/user/login)
21:46:33	14778/14778	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Mar%202020%2017:16:31%20GMT	https://utid.ut.ac.ir/user/profile	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/user/profile.html	(from https://utid.ut.ac.ir/user/login)
21:46:33	13130/13130	---MC-	403	error ('Forbidden')	text/html	date:Mon,%2030%20Mar%202020%2017:16:32%20GMT	https://utid.ut.ac.ir/css/grabbing.png	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/css/grabbing.png	(from https://utid.ut.ac.ir/css/style.min.css)
21:46:33	13130/13130	---MC-	403	error ('Forbidden')	text/html	date:Mon,%2030%20Mar%202020%2017:16:32%20GMT	https://utid.ut.ac.ir/css/AjaxLoader.gif	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/css/AjaxLoader.gif	(from https://utid.ut.ac.ir/css/style.min.css)
21:46:33	13130/13130	---MC-	403	error ('Forbidden')	text/html	date:Mon,%2030%20Mar%202020%2017:16:32%20GMT	https://utid.ut.ac.ir/user/Trident	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/user/Trident	(from https://utid.ut.ac.ir/user/Trident/)
21:46:34	13130/13130	---MC-	403	error ('Forbidden')	text/html	date:Mon,%2030%20Mar%202020%2017:16:33%20GMT	https://utid.ut.ac.ir/user/Edge	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/user/Edge	(from https://utid.ut.ac.ir/user/Edge/)
21:46:34	244/244	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Mar%202020%2017:16:33%20GMT	https://utid.ut.ac.ir/user/pass/Edge/	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/user/pass/Edge/index.html	(from https://utid.ut.ac.ir/user/pass/recover)
21:46:34	247/247	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Mar%202020%2017:16:33%20GMT	https://utid.ut.ac.ir/user/pass/Trident/	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/user/pass/Trident/index.html	(from https://utid.ut.ac.ir/user/pass/recover)
21:46:35	13130/13130	---MC-	403	error ('Forbidden')	text/html	date:Mon,%2030%20Mar%202020%2017:16:33%20GMT	https://utid.ut.ac.ir/user/pass/Trident	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/user/pass/Trident	(from https://utid.ut.ac.ir/user/pass/Trident/)
21:46:35	13130/13130	---MC-	403	error ('Forbidden')	text/html	date:Mon,%2030%20Mar%202020%2017:16:33%20GMT	https://utid.ut.ac.ir/user/pass/Edge	E:/My%20Web%20Sites/SN/utid.ut.ac.ir/user/pass/Edge	(from https://utid.ut.ac.ir/user/pass/Edge/)
